name,spider_type,spider,job_id,captcha_failures_count,captcha_requests_count,captcha_sucesses_count,download_exceptions_count,request_bytes,request_count,response_bytes,response_count,response_200_count,response_301_count,response_302_count,response_307_count,response_400_count,response_403_count,response_404_count,response_405_count,response_407_count,response_408_count,response_410_count,response_500_count,response_502_count,response_503_count,response_504_count,request_filtered_count,items_scraped_count,items_dropped_count,requests_dequeued_count,requests_enqueued_count,total_inserted,created,modified
fun-memorialoaksfuneralhome,FUN,dignitymemorial,00156348-1f0d-449d-9c4b-a62b442edc67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-moorefuneralhomes,FUN,frontrunner,02f8240f-3d22-462e-b883-a218cab7df8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-craigslisttx-sanantonio,FSBO,craigslist_scrapy,036fa602-3671-4e8e-8648-6cd0c9d806ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonvt,WEDS,amazonwed,04c23acb-1d64-46c6-af5b-483e452cbd5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-kelownacapnews,OBIT,blackpress,0517a2e7-5689-422c-b908-48c63aba8079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-jamessikesfuneralhomes,FUN,funeralone,06c8bbe3-0a85-426d-8b37-0c464dc76a4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-legacy-redlandsdailyfacts,OBIT,obitLegacy,06e60b39-cf25-4f47-a2a5-43cdb1fbbf27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-howellfh,FUN,fun-frazer,0a84107b-684b-44e0-b162-251f41d4c15f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsbo-zillowil-ford,FSBO,zillowbot,0bb62309-4954-42de-a7a2-efe084cbb6a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-michigancremation,FUN,funhomegeneric,0d59a6c1-dbbc-4d64-91c5-0214ee3e3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonco,WEDS,amazonwed,106885e1-7757-40e6-882a-a568cc7c8ddd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-zimmermansandeman,FUN,dignitymemorial,15ae3ff6-7b65-457e-838d-995427324ef4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-traditionalorpersonalizedfuner,FUN,funeralone,15ed160d-979b-4c79-83c1-0c08a8666ab0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-interlakespectator,OBIT,obit-adperfect,168c93c0-4e3f-4af0-9fe6-3462e12bc2b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-perryjbrownfuneralhome,FUN,articdesigns,16e91313-83f8-4413-a33f-12585beeba8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-goodrichfuneralhome,FUN,funeralone,176b4280-6442-471a-90f6-f550aa0571a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-hudsonsfuneralhome,FUN,batesville,1a50fb8a-61b5-4106-ac89-cbced2b9a130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-glenvillefuneralhome,FUN,funeraltech,1b5403c1-0fb5-495e-95fd-a4f291c601be,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-theledger,WEDS,legacyweds,1b93624d-0736-465a-9dc8-515878b7ffed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-bexarcountywed,WEDS,bexarcountywed,1ca1bd16-d880-419f-b1b9-46acdf09852a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-legacy-canberratimes-au,OBIT,obitLegacy,1f58b666-4919-4848-a625-060673f2c816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonla,WEDS,amazonwed,1ff25f67-f9f7-4513-918f-024da1e514af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-betzjastremskifuneralhomeinc,FUN,fun-frazer,2284cd04-5265-4276-8bf2-076168e4d160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-haverhillweeklynews,OBIT,obit-familyannouncements,22cd1fd5-49f9-4ca1-bc59-7d5d610af399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-tributesva-q,OBIT,tributes_alpha,24ed5fdb-171c-47b4-9047-a105d2f16b6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-watsonthomasfuneralhomeandcrem,FUN,fun-frazer,26b242fd-26c1-4676-a774-c0068fa2cd86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-thetelegraphandargus,OBIT,obitgeneric,26ff8b03-787b-46cb-9317-93d33bae4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-canalefuneral,FUN,funeralinnovations,274a64e1-f55a-4eac-a4fa-922bf48f7d4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
